Code,Region,Income,Country_Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BFA,Sub-Saharan Africa,Low income,Burkina Faso,2.484339952,2.643610001,2.951489925,2.991329908,3.212879896,3.806230068,4.513770103,5.157660007,5.805190086,6.606040001,6.891890049,7.229269981,7.477809906,7.934559822,8.290249825,,,,,9.793089867,10.42247963,10.63871956,,12.07507038,13.25078964,14.29878044,15.04074955,16.16699028,18.91509056,20.29426003,21.90269089,23.83592987,25.93309021,28.36595917,30.35403061,33.71873093,35.78715134,38.11724854,40.70972824,41.31110001,40.56293869
BGD,South Asia,Lower middle income,Bangladesh,18.99373055,16.85020065,,20.3182106,20.91304016,20.56513977,20.22071075,20.62133026,20.52153015,20.37590027,20.90838051,,,,,,,,45.16392136,48.33118057,49.76398849,51.03987122,52.19578934,51.93294144,48.3519783,46.96282959,47.52978134,48.30105972,46.24111938,49.99824142,51.63769913,52.43136978,55.20996857,60.16873932,,65.62918854,71.41584015,69.66316986,72.69059753,72.55812836,74.3600769
BGR,Europe & Central Asia,Upper middle income,Bulgaria,89.71346283,90.16822052,90.96820068,91.78655243,91.98879242,93.26184845,98.88510895,100.026123,101.7010574,102.2375107,98.79859161,97.70150757,95.78276825,92.86282349,90.05886078,91.73722839,92.63237762,92.24411774,91.69548798,91.94560242,92.78795624,93.85347748,95.29589081,86.75478363,88.74053955,89.22805786,89.74011993,90.23805237,89.43395996,88.74194336,90.22619629,93.75525665,94.69573212,101.4531631,104.1487808,102.2722702,99.67707825,98.18347168,96.82090759,92.39259338,
BHR,Middle East & North Africa,High income,Bahrain,58.99552155,64.28224945,70.33316803,84.11666107,85.50047302,92.26914215,97.39945221,94.31079865,91.6904068,90.40003967,86.93154144,99.43728638,98.49221802,101.8405838,105.1617432,106.1283569,104.2143173,97.35269928,96.02433777,94.61630249,97.56947327,97.96576691,94.30005646,94.26097107,95.3710022,96.20007324,96.39720917,,91.79231262,91.98146057,92.85565186,95.29779816,91.67199707,96.67333984,98.94239807,102.1602402,103.8538437,102.2033768,98.59906769,97.11241913,
BHS,Latin America & Caribbean,High income,"Bahamas, The",95.87312317,90.34744263,89.36834717,89.1701889,94.71453094,86.11534119,86.3056488,92.80970001,,,85.73209381,87.17424011,95.86184692,95.88069153,89.80233765,86.8323822,,82.01864624,,77.5308075,,,91.8791275,,86.17588806,88.45793152,89.68250275,93.1100235,92.15827942,90.24461365,89.35462952,84.98634338,85.76167297,76.89482117,,,,,,,
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Europe & Central Asia,Upper middle income,Belarus,98.25019836,99.18878937,99.80648041,100.449707,100.7717819,100.749649,100.4003677,100.3010635,99.5668869,98.80796814,97.34259796,93.85092926,93.12220764,92.19728851,93.05457306,94.40019989,95.76133728,95.49623871,86.66413879,,,,,,,,,,111.9255905,110.7479019,108.225441,107.3914185,107.2134399,105.4282608,105.52314,105.4690018,104.7959213,103.5134583,102.4395294,,
BLZ,Latin America & Caribbean,Upper middle income,Belize,54.2193718,53.01934814,52.45795822,,,,57.82928085,60.58060074,,,,60.75178146,,,68.38514709,67.20717621,,,,64.13491058,67.98631287,70.59146881,,76.94431305,78.25524902,76.46658325,76.66667175,75.31014252,74.79151154,74.39433289,75.30957794,75.951828,78.31773376,80.07402802,79.76219177,80.65795135,87.00610352,84.04007721,85.37245941,86.38567352,85.24632263
BMU,North America,High income,Bermuda,97.41995239,,,,,,,,,,,,,,,,,,,,,77.20662689,76.41445923,77.408638,79.44094849,78.70262909,75.16220093,,,,77.37303162,76.69093323,76.49401855,77.01531219,76.77734375,76.95237732,,,,,
BOL,Latin America & Caribbean,Lower middle income,Bolivia,,,,,,,,,,,,,,,,,,,71.77848816,77.18572998,72.90833282,75.85266876,80.58419037,83.30819702,86.09528351,87.01776123,86.1677475,85.63527679,85.01277924,83.46188354,88.7091217,86.06030273,88.13147736,89.89794922,90.38321686,91.36424255,91.42639923,90.29644775,89.72425079,89.98072052,
BRA,Latin America & Caribbean,Upper middle income,Brazil,,,,,,,,,,,,,,,,,,,,,,,109.9942169,101.8686676,102.3710327,101.2919922,,95.16999817,96.72012329,96.66548157,,95.26338196,93.42028809,102.6035767,101.3885269,100.6081696,102.0632629,101.3137894,105.0091095,103.9523773,
BRB,Latin America & Caribbean,High income,Barbados,89.27213287,88.21746826,86.38356018,87.13195801,88.20533752,91.60414886,,,,86.88609314,85.42652893,,,,,,,,,107.0112686,103.6240768,103.5071182,104.3339233,105.4467697,107.7226486,108.5390015,105.8844376,105.3945084,104.4798431,103.2271423,101.9077988,103.6358871,,,108.123848,107.5281219,106.5098038,106.3274536,103.7039032,102.7071991,104.022522
BRN,East Asia & Pacific,High income,Brunei Darussalam,61.07220078,61.75992966,63.46850967,65.9173584,63.9403801,63.59003067,60.77074814,,,,,73.19567108,73.89987183,75.79666138,76.27494812,,,,81.00340271,84.21439362,84.64923096,85.06243896,86.54186249,88.37415314,92.80322266,96.58753204,97.44117737,95.79460907,96.01590729,98.20404053,99.17563629,101.4305496,106.2648315,104.9133072,99.59155273,96.41471863,94.05417633,92.93731689,93.48278046,92.09571838,91.36090851
BTN,South Asia,Lower middle income,Bhutan,,,9.31194973,10.81357002,11.5720396,11.58598995,,,,,,,,,,,,,23.44051933,26.50309944,30.02342987,33.41059875,,,,44.55110168,47.40182877,51.40493011,54.71617126,59.57789993,63.56647873,67.24878693,71.69738007,75.61264801,82.71891785,84.01727295,85.34536743,87.86759949,90.09468079,,
BWA,Sub-Saharan Africa,Upper middle income,Botswana,19.96933937,21.92034912,,21.97135925,26.06399918,29.25621033,31.00276947,32.13695145,31.57074928,36.76126099,40.48437119,49.39302063,49.37147141,54.11481094,53.24406815,60.70906067,,,77.58805084,78.51727295,80.41092682,80.3061676,81.50727081,82.18070221,83.52474976,83.61094666,84.99632263,85.10595703,79.91677094,,,,,,,,,,,,
CAF,Sub-Saharan Africa,Low income,Central African Republic,11.90608978,13.54417992,15.80747032,15.61345959,,15.51284981,15.4677,12.99577045,11.64640045,11.18694019,11.84185028,11.93229008,9.962490082,,,,,,,,,12.00319004,12.02468967,,,,,,,13.61705971,,17.62453079,17.39388084,,,,15.03944016,17.13537979,,,
CAN,North America,High income,Canada,87.46263123,88.2752533,92.34300232,94.98457336,98.1000824,99.0982666,99.18464661,99.1088562,99.38040161,99.6363678,99.80230713,101.4082565,102.7138672,104.6062698,105.7663879,105.1524734,105.4769211,,105.6039734,102.3761368,101.9231262,,,,,101.3911896,101.7282486,101.9034882,102.3444366,102.7344437,102.3984833,103.3489609,109.9874878,109.4859924,109.3330994,110.3565292,112.5142822,113.7628632,114.1235123,114.3332672,
CHE,Europe & Central Asia,High income,Switzerland,94.56681061,94.93768311,94.75923157,94.72370148,95.15155792,95.01213074,94.62441254,94.33315277,94.53829956,94.9091568,95.88945007,97.00785065,98.41751862,99.49246216,101.6720734,101.5583191,101.1149368,,95.87937927,95.85240173,95.62875366,95.33287048,93.70813751,93.78176117,94.41706085,95.45321655,96.02689362,95.91104126,95.88604736,95.60131073,96.11022949,96.41895294,96.48052216,98.89135742,,101.4737091,102.5653763,102.4874268,102.5706787,102.3407822,
CHI,Europe & Central Asia,High income,Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Latin America & Caribbean,High income,Chile,64.21063995,64.8862915,65.15561676,69.84864044,72.51904297,75.60778809,77.01825714,,79.89830017,77.61585236,74.06542969,91.53206635,91.36071777,72.64936829,,,,,78.90660858,81.49079132,85.52158356,,88.94139099,91.27256775,92.37825775,93.49674988,93.25523376,92.08820343,91.38500214,88.97956085,90.00818634,90.46907806,89.50108337,99.59391785,100.6820908,101.7809296,101.7775269,101.8314209,102.3675537,103.6651611,
CHN,East Asia & Pacific,Upper middle income,China,43.23553085,38.99174881,33.14825821,30.2906208,29.72543907,31.0157795,32.632061,34.71899033,36.24217987,36.47568893,36.7201004,38.98485184,42.09880066,44.97417831,46.59412003,50.35079956,54.85623932,57.4666214,,60.46417999,60.25989914,60.08422089,60.28450012,62.14112854,,,71.32845306,76.78765869,81.71283722,85.45140839,88.17340088,,,,,,,,,,
CIV,Sub-Saharan Africa,Lower middle income,Cote d'Ivoire,18.25279999,19.73810959,,19.57319069,19.38722038,19.6604805,,19.12545013,,,,,,,,,,,,24.05761909,,,,,,,,,,,,,,,38.93740082,42.45389175,45.03580856,48.44684982,51.02666092,54.61299133,57.41680145
CMR,Sub-Saharan Africa,Lower middle income,Cameroon,17.15843964,18.19758987,18.69717979,19.87667084,20.80065918,22.22578049,22.42745018,24.40209007,25.3827095,25.81295013,25.89793968,27.32549095,28.17955017,,26.9450798,25.9356308,,24.02065086,24.78827095,26.19422913,27.57543945,32.38817978,28.21961975,29.79597092,26.5544796,27.06101036,23.56108093,32.35641861,36.6680603,40.47853851,,48.31893158,51.58778,53.4063797,57.51034927,59.03208923,60.05815887,,,,
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.",24.80217934,24.50982094,24.37879944,24.27659035,24.18214989,24.08056068,23.97595024,23.95644951,25.29339027,,,,22.79243088,24.35872078,25.77139091,27.99794006,,,,,,,,,,,,36.59730148,39.44591141,41.50389862,41.21020889,43.32061005,43.22605896,42.90813828,45.50178909,46.16579056,,,,,
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",58.91944122,66.90670776,71.05355072,69.68270874,64.59731293,62.74250031,66.49771118,67.84020233,63.3326683,54.13525009,47.52936172,46.25682068,46.96582031,,49.4693985,,47.65034103,,,,,,38.3146019,39.49966812,44.62115097,,,,,,,,52.59281921,,,,,,,,
COL,Latin America & Caribbean,Upper middle income,Colombia,42.19347,43.09840012,44.30271149,44.35263824,46.24050903,47.41115189,52.17200089,52.96125031,53.37992096,53.52479935,,53.65937042,59.65871811,61.92026901,63.39955902,64.54894257,68.84364319,,73.86979675,74.12106323,73.08660126,,74.63543701,,79.10735321,82.86219788,86.28616333,89.21082306,90.78518677,95.26943207,97.54611969,99.15142822,95.40425873,96.14040375,94.9876709,94.7192688,95.01463318,95.73023224,97.50623322,100.8063126,
COM,Sub-Saharan Africa,Low income,Comoros,,28.34196091,,,,,38.26137924,37.52991867,,,,,25.05009079,,25.92152023,,,,,33.5875206,,,36.27775955,40.06658173,44.00775146,,,,,,,,,59.98247147,61.09056854,,,55.51028824,59.46886063,,
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde,7.502520084,7.853050232,8.83479023,,11.07748032,,,14.99577045,17.20548058,18.55611992,21.04841042,,,,29.70416069,,,,,,68.67608643,66.16002655,68.89408112,69.25476074,68.24381256,71.01006317,81.88127899,81.73712921,84.27629852,83.99076843,86.94371033,89.97599792,93.03401184,96.65943146,95.14743805,94.72112274,93.6871109,92.64199066,88.15511322,88.99069214,
CRI,Latin America & Caribbean,Upper middle income,Costa Rica,46.97642899,46.73194885,45.89101028,43.65716934,42.22755051,40.96162033,41.85343933,42.36399078,42.12638092,42.54204178,43.48997879,44.58823013,46.68978119,47.64311981,48.8138504,50.0522995,49.48250961,50.49148178,57.91545105,63.20632935,62.05680084,66.85674286,68.09944153,,79.50946045,81.59253693,88.41921997,89.83688354,91.26712799,98.09201813,101.0797424,103.8047028,107.4916992,114.3926926,120.1272202,122.7865829,125.8161621,128.9296265,132.816925,141.3639832,142.0174866
CUB,Latin America & Caribbean,Upper middle income,Cuba,78.1810379,79.5007782,80.89878082,79.01365662,81.64557648,82.46424103,83.44017029,84.29711151,85.53257751,87.54411316,88.02868652,88.44410706,87.18981171,84.02838135,78.47589111,75.55301666,80.08995819,80.32650757,,79.95445251,82.7508316,84.52781677,88.32048798,91.39070892,90.94702911,93.05297852,95.4187088,95.56481934,94.94477081,92.77957916,92.24871063,91.52572632,90.18881989,90.97796631,97.00200653,97.89115143,100.1145477,101.3091736,101.1372375,100.3396225,99.9485321
CUW,Latin America & Caribbean,High income,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.21237946,,,,,,,111.360878
CYM,Latin America & Caribbean,High income,Cayman Islands,74.00205231,101.7655716,,,,,,,,,,,,,,,,,,93.97116852,95.16457367,89.13043213,81.25650787,,81.57656097,80.80113983,79.38115692,78.18182373,80.25093842,,,81.15000153,82.15973663,83.62963104,,,,,77.03900909,,74.21875
CYP,Europe & Central Asia,High income,Cyprus,68.36515808,67.93354797,69.53497314,69.73773193,72.0390625,72.37637329,68.92797852,65.61911774,62.46353912,63.26628113,64.16503143,65.56735992,67.50077057,93.23835754,93.74485779,94.84616852,94.21144867,93.35913849,,93.22234344,93.37213898,93.44506073,96.91520691,98.424263,97.71511841,96.54328156,96.59815216,97.77915192,98.32904053,98.38755798,91.44080353,92.82562256,95.29985046,98.31169128,99.41673279,99.77831268,99.11930847,100.33255,100.2535172,100.8504333,
CZE,Europe & Central Asia,High income,Czech Republic,94.64949036,,103.8963699,100.3026505,95.47585297,93.83509827,92.05680084,93.58699036,91.34812927,92.54631042,91.24365234,89.58054352,86.02832794,87.95214081,90.04772949,93.96192169,97.95690918,87.74716949,82.15885925,82.96238708,88.31745148,94.80554199,95.50163269,96.48941803,95.44210052,95.67085266,96.03755951,94.9588089,94.14958191,93.85027313,94.65641785,95.79878998,96.79180908,103.9989471,104.6972198,105.0893021,104.6348114,103.4915771,102.2979279,101.3015518,
DEU,Europe & Central Asia,High income,Germany,,,,,,,,,,,,99.30014038,100.8522568,105.6027679,105.6989975,104.9601669,104.506813,104.2955017,99.13723755,99.27565002,99.93065643,100.5015106,101.473671,101.8206711,102.1401978,102.2795868,103.0582886,102.2422867,103.3083191,103.1582489,103.9748383,103.7624207,102.1676102,100.8108902,99.71071625,98.82263947,98.81199646,98.40927887,97.59349823,97.54060364,
DJI,Middle East & North Africa,Lower middle income,Djibouti,7.94343996,8.420550346,8.829950333,9.298680305,9.788339615,10.0172596,10.31058979,11.02904034,10.44402981,10.63064957,10.21918964,10.02867031,10.26506996,9.803230286,10.36203003,11.32859993,11.78083038,13.01109028,,14.33813953,14.04512024,15.9978199,16.80468941,,20.51652908,22.93004036,22.84099007,26.74171066,31.96120071,34.99409866,,40.86059189,43.86172867,45.25479889,46.17198181,46.76042175,48.11304855,47.84857941,51.45777893,51.97055054,54.27222824
DMA,Latin America & Caribbean,Upper middle income,Dominica,,,,,77.13964844,,83.57904053,74.71278381,,,69.75361633,,,,,,,,,107.125679,111.5130615,111.4665909,112.6295166,114.3787918,107.7067108,103.2311478,98.49783325,95.71392059,92.69499207,92.27423859,88.90933228,89.13699341,,,90.72412872,94.25424194,,,,101.0598526,101.58255
DNK,Europe & Central Asia,High income,Denmark,102.2387009,104.7565689,104.6637192,104.543457,103.2215576,103.5036774,105.3736572,106.7963791,107.6892014,109.1126099,109.436142,109.5470276,110.1822815,111.5702286,114.3360596,117.8711777,120.4913483,,123.4757233,125.0952072,126.9876633,130.964035,126.2583923,126.4003067,123.5851898,124.0997162,119.9998398,118.758873,117.8412323,117.9756165,119.4968491,122.6990204,123.4057922,129.3380432,129.3281708,130.2518616,129.1194916,129.0774841,129.7455444,129.885025,
DOM,Latin America & Caribbean,Upper middle income,Dominican Republic,40.5458107,41.97542953,43.99496841,,54.2537384,,51.10549927,,,,,,,,42.64321899,44.15956879,,,54.94678879,56.67905045,60.05714035,,68.39630127,,69.46888733,71.14797974,,80.1211319,78.95231628,80.90466309,78.15454102,77.46867371,78.02393341,79.20436096,80.14460754,79.97901917,79.88292694,79.73947144,79.93869019,81.59329224,79.7734375
DZA,Middle East & North Africa,Upper middle income,Algeria,30.23278046,32.35520935,35.41365051,38.71696854,42.09112167,45.29893112,49.65708923,52.16117096,53.22945023,59.94152069,59.41418839,57.86550903,57.57250977,57.70077896,58.72354126,58.66542816,58.98059082,59.51634979,,65.67749786,65.11698151,68.81997681,71.94891357,74.10385895,77.50798798,78.98921204,79.88452911,70.31385803,76.70108032,92.87783051,96.93727875,99.61434937,,,,,,,,,
ECU,Latin America & Caribbean,Upper middle income,Ecuador,49.49615097,52.64474106,54.94054031,56.70584869,53.90171051,57.46385956,57.40002823,57.83377838,58.45991135,,58.06027985,56.74729919,57.81060028,57.17087173,,,54.03868103,,56.25138092,57.73585129,57.70922852,58.03422165,59.09057999,58.69921875,59.36859131,62.00888062,64.27047729,65.84909058,,88.64425659,92.31842804,96.46614075,99.54315186,102.1120605,104.8615036,104.0310593,103.7501297,102.1983109,101.4356537,100.5680771,100.5603409
EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.",49.25862122,50.00867844,51.74034119,53.46636963,55.19810867,56.96723175,59.58398819,62.19229126,62.51599121,61.91323853,73.76138306,74.38530731,69.10591125,69.71463013,74.8970108,72.5748291,70.21562195,74.35726166,,80.30728912,81.98577881,83.27793121,82.71074677,82.43296051,81.85592651,,,,,67.15641022,68.90625,77.60144043,78.68850708,80.31903076,80.79741669,,85.14644623,86.71444702,87.91114044,89.48068237,
ERI,Sub-Saharan Africa,Low income,Eritrea,,,,,,,,,,,,,,20.12659073,21.62748909,22.9883709,24.06595993,25.82224083,,30.90728951,34.55467987,34.51480103,35.42396927,36.05879974,36.67491913,40.3620491,42.51174164,41.60852051,44.91022873,49.02930069,51.99332809,55.62369156,59.33432007,59.88954926,58.9507103,51.82041931,,47.49213028,47.69710922,,
ESP,Europe & Central Asia,High income,Spain,84.88784027,86.16172028,88.24690247,90.43952942,89.08952332,91.2808609,98.21990204,100.5796432,102.984642,103.9339523,101.0154114,103.0784683,105.2588501,109.6234283,112.2996597,114.1103973,117.5732193,115.1843109,106.0979614,107.8069,110.2659988,111.7833023,111.8552399,112.1522522,113.8304367,117.3422318,117.3375473,116.3560486,115.5262909,115.0287933,119.1159515,120.9332504,122.837532,123.1873016,123.3748703,124.9606628,126.1904602,126.0045013,126.1791534,125.9452896,
EST,Europe & Central Asia,High income,Estonia,,,,,,,99.1173172,,,86.17292023,104.7041702,102.0963974,101.7950211,97.34484863,99.03697968,102.4453812,92.83760071,,94.37927246,93.71790314,93.82781219,94.95307159,97.68678284,97.67468262,100.0868988,102.7890778,103.1119003,103.2427292,102.2679291,102.7376175,105.2892609,107.3688278,107.8115692,108.1674194,108.4098969,111.0414276,115.014122,116.8747482,116.651741,115.6051178,
ETH,Sub-Saharan Africa,Low income,Ethiopia,,,,,12.50146008,,13.0085001,14.08751965,15.32511997,15.26743984,,13.92994022,12.17512035,10.83308029,10.45979023,10.49328995,10.8604002,,,12.41506004,13.53886986,16.44326019,18.74282074,19.70783997,22.19964027,25.10318947,29.22883987,32.29912186,33.40739059,33.59592819,34.83549118,36.00415039,37.57714081,,,34.93946838,,,,,
FIN,Europe & Central Asia,High income,Finland,98.18283081,99.54627228,100.601799,100.9973984,103.8767776,104.8186874,105.6021423,105.8737335,108.1360931,111.0820465,114.4188766,116.2474213,119.4999924,116.3792801,117.1641769,115.3791733,115.7371292,117.5752487,117.4785995,120.4142303,124.5789337,127.1246338,128.7950745,131.5444946,110.7331314,111.7896881,111.455658,110.1139832,108.606781,107.4755478,107.5860596,108.0977707,108.2427597,144.2861176,146.4275665,150.0198669,152.1628571,153.9635773,154.8202362,145.318985,
FJI,East Asia & Pacific,Upper middle income,Fiji,71.81298828,70.41152954,,71.24436188,71.68289948,69.73008728,71.44844055,73.50128937,,,,76.69986725,80.75202179,,,,,,78.76907349,78.34744263,78.35098267,79.0832901,82.38062286,86.09513092,90.89961243,,90.94644928,88.97927856,87.60511017,86.66223907,,91.31902313,89.88188934,,,,,,,,
FRA,Europe & Central Asia,High income,France,82.69277191,82.92543793,83.65177917,85.09661865,86.95552063,88.63301086,89.6889267,90.96489716,92.09316254,93.83460236,96.06481934,100.6376266,104.5220718,105.3061295,113.7701035,113.9634399,112.5837402,111.5398407,110.5531693,105.7661819,105.5902176,104.5711136,103.1863403,102.7721024,102.2200165,106.7816772,106.9275208,106.6935272,106.4328384,106.2392273,106.424942,106.6106415,105.8135834,104.3766022,103.425827,103.3960419,103.3080978,103.7560806,103.7733307,104.2929916,
FRO,Europe & Central Asia,High income,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,82.35868073,83.08348846,,,,,,,,,,,,,,,
GAB,Sub-Saharan Africa,Upper middle income,Gabon,29.09633064,30.62933922,30.2029705,31.38150978,33.38319016,34.97724152,37.84933853,37.28369141,38.70217896,37.07080078,,,,,38.77267075,41.40029144,49.02320862,49.5349884,,47.74785995,,52.33082962,53.08600998,,,,,,,,,,,,,,,,,,
GBR,Europe & Central Asia,High income,United Kingdom,80.77227783,80.95738983,81.96794891,83.22280121,83.45688629,83.59243774,83.98618317,83.69093323,83.3158493,83.39276123,84.36567688,87.55686951,91.07829285,101.0089493,102.6976395,103.1012878,102.0017929,99.82121277,98.94206238,101.1622086,101.8960114,101.7868271,102.7432785,102.0994034,104.6890411,105.4219666,98.24421692,97.19419861,98.33966064,100.1697693,102.9046783,93.76583099,91.55275726,123.7762909,126.3899002,124.5240021,,125.8518677,120.783577,118.73629,
GEO,Europe & Central Asia,Upper middle income,Georgia,,109.0427094,,,,,115.2703705,,,,,96.09298706,89.35909271,78.17536926,75.99085236,73.75427246,75.8446579,79.6516571,,85.10201263,87.20838165,89.27214813,92.67044067,95.47133636,91.52776337,94.39134979,95.30055237,100.6181107,99.31736755,95.13452148,,,,97.43553925,97.45314789,99.35391235,100.9073486,103.3810577,105.9787216,106.2963486,102.5507507
